Number,Filter
1,0
2,3
3,3
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,3
12,0
13,0
14,3
15,0
16,3
17,0
18,0
19,0
20,3
21,0
22,3
23,3
24,0
25,0
26,0
27,0
28,0
29,3
30,3
31,0
32,0
33,3
34,0
35,3
36,0
37,0
38,0
39,0
40,3
41,3
42,0
43,0
44,0
45,0
46,0
47,0
48,3
49,0
50,0
51,3
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,3
60,3
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,3
106,0
107,3
108,0
109,0
110,3
111,0
112,0
113,3
114,0
115,3
116,0
117,3
118,0
119,3
120,0
121,3
122,0
123,0
124,3
125,0
126,3
127,3
128,0
129,0
130,0
131,3
132,0
133,0
134,3
135,0
136,0
137,3
138,3
139,3
140,0
141,0
142,3
143,3
144,0
145,0
146,0
,0
148,3
149,0
150,0
151,0
152,3
153,3
154,0
155,0
156,0
157,3
158,0
159,3
160,0
161,3
162,0
163,0
164,3
165,0
166,3
167,0
168,0
169,3
170,3
171,0
172,0
173,0
174,3
175,0
176,3
177,3
178,3
179,0
180,0
181,3
182,0
183,3
184,3
185,0
186,0
187,0
188,3
189,0
190,3
191,0
192,3
193,0
194,3
196,0
197,3
198,0
199,3
200,3
201,3
203,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,3
213,3
214,3
215,0
216,0
217,3
218,0
219,0
220,3
221,0
222,0
223,3
224,0
225,3
226,0
227,3
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,3
243,3
244,0
245,0
246,0
247,0
248,0
249,3
250,3
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,3
259,0
260,0
261,0
262,0
263,0
264,0
265,3
266,3
267,0
268,3
269,3
270,3
271,0
272,0
273,0
274,0
275,3
276,3
277,3
278,0
279,0
,0
281,3
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,3
298,3
299,0
300,3
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,3
311,0
312,0
313,0
314,0
315,0
316,3
317,3
318,3
319,0
320,3
321,0
322,3
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
